,DBPath,correct_k,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7,KL,CH,Hartigan,CCC,Scott,Marriot,TrCovW,TraceW,Friedman,Rubin,Cindex,DB,Silhouette,Duda,PseudoT2,Beale,Ratkowsky,Ball,PtBiserial,Frey,McClain,Dunn,Hubert,SDindex,Dindex,SDbw
191,D:\Z - Saved SQL Databases\44OP-241413_Seton_SW_AHU3_Replacement\JobDB.mdf,13.0,45.0,2.0,0.0,0.0,0.0,0.0,81.0,,11.0,11.0,8.0,2.0,9.0,9.0,4.0,9.0,9.0,9.0,11.0,3.0,2.0,2.0,2.0,2.0,10.0,3.0,5.0,9.0,2.0,4.0,0.0,5.0,0.0,6.0
192,D:\Z - Saved SQL Databases\44OP-218333 HCA Leander FSED\JobDB.mdf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,,12.0,9.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,9.0,17.0,17.0,2.0,2.0,2.0,3.0,9.0,3.0,12.0,3.0,2.0,14.0,0.0,3.0,0.0,17.0
193,D:\Z - Saved SQL Databases\44OP-257359 BTX4-BAU-Baylor Waco Hall ADA\JobDB.mdf,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,D:\Z - Saved SQL Databases\44OP-243177_VA_ITC_Chiller_Plant\JobDB.mdf,105.0,106.0,2.0,16.0,0.0,0.0,0.0,301.0,,23.0,2.0,3.0,88.0,3.0,3.0,3.0,3.0,82.0,69.0,89.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,8.0,70.0,2.0,4.0,0.0,10.0,0.0,66.0
195,D:\Z - Saved SQL Databases\44OP-237947_SDGH_Rehab_Relo\JobDB.mdf,6.0,5.0,0.0,0.0,0.0,0.0,0.0,35.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,0.0,3.0,0.0,6.0
196,D:\Z - Saved SQL Databases\No_Name_9\JobDB.mdf,17.0,3.0,4.0,0.0,0.0,0.0,0.0,35.0,,3.0,13.0,3.0,13.0,3.0,3.0,3.0,3.0,13.0,13.0,15.0,10.0,2.0,3.0,3.0,3.0,3.0,3.0,6.0,0.0,2.0,10.0,0.0,9.0,0.0,10.0
197,D:\Z - Saved SQL Databases\44OP-245029_TFC_TCEQ\JobDB.mdf,13.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,D:\Z - Saved SQL Databases\44OP-233491 SDMC 32nd North Tower Vertical Expansion\JobDB.mdf,30.0,77.0,1.0,0.0,0.0,0.0,0.0,170.0,,15.0,4.0,4.0,23.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,7.0,0.0,2.0,2.0,0.0,9.0,0.0,10.0
199,D:\Z - Saved SQL Databases\44OP-212618_SDMC_ENDOSCOPY\JobDB.mdf,22.0,9.0,0.0,0.0,0.0,0.0,0.0,97.0,,9.0,9.0,5.0,2.0,6.0,6.0,6.0,9.0,7.0,9.0,12.0,2.0,2.0,2.0,2.0,2.0,9.0,3.0,3.0,5.0,2.0,3.0,0.0,3.0,0.0,4.0
200,D:\Z - Saved SQL Databases\44OP-255456 GARDNER BETTS BAS SYSTEM UPGRADE\JobDB.mdf,73.0,66.0,3.0,0.0,0.0,0.0,0.0,323.0,,2.0,2.0,16.0,40.0,5.0,5.0,3.0,5.0,33.0,33.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,15.0,0.0,2.0,2.0,0.0,4.0,0.0,46.0
201,D:\Z - Saved SQL Databases\44OP-237829_BSS_AUS_Seton_HL_EDExp\JobDB.mdf,16.0,20.0,0.0,0.0,0.0,0.0,0.0,63.0,,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,11.0,11.0,11.0,2.0,2.0,2.0,4.0,3.0,8.0,1.0,2.0,11.0,0.0,10.0,0.0,11.0
202,D:\Z - Saved SQL Databases\44OP-240467_TFC_WPH_VAV_Replacement\JobDB.mdf,78.0,19.0,76.0,0.0,0.0,0.0,0.0,308.0,,8.0,2.0,4.0,79.0,15.0,8.0,5.0,5.0,79.0,58.0,4.0,2.0,2.0,2.0,2.0,2.0,6.0,3.0,16.0,0.0,2.0,2.0,0.0,12.0,0.0,23.0
203,D:\Z - Saved SQL Databases\44OP-250900_401_Congress_27th_Floor\JobDB.mdf,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,D:\Z - Saved SQL Databases\44OP-236997_Cerilliant_BAS_Retrofit\JobDB.mdf,9.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,,5.0,25.0,5.0,15.0,28.0,4.0,5.0,5.0,31.0,25.0,31.0,10.0,7.0,2.0,2.0,2.0,3.0,3.0,8.0,23.0,2.0,31.0,0.0,7.0,0.0,18.0
205,D:\Z - Saved SQL Databases\44OP-211506_TFC_SFA_Repl_DM2016\JobDB.mdf,96.0,174.0,1.0,2.0,0.0,0.0,0.0,983.0,,82.0,31.0,11.0,89.0,11.0,11.0,11.0,11.0,11.0,15.0,89.0,2.0,2.0,2.0,2.0,2.0,15.0,3.0,19.0,12.0,2.0,2.0,0.0,5.0,0.0,89.0
206,D:\Z - Saved SQL Databases\44OP-248386_NAMC_DA_Tank\JobDB.mdf,14.0,22.0,0.0,0.0,0.0,0.0,0.0,28.0,,6.0,2.0,5.0,6.0,20.0,4.0,3.0,5.0,20.0,6.0,20.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,5.0,12.0,2.0,20.0,0.0,5.0,0.0,7.0
207,D:\Z - Saved SQL Databases\44OP-212314_TXSU_Eng_Science\JobDB.mdf,32.0,6.0,44.0,18.0,0.0,0.0,0.0,95.0,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9.0,6.0,13.0,2.0,2.0,2.0,2.0,2.0,6.0,3.0,11.0,1.0,2.0,11.0,0.0,13.0,0.0,13.0
208,D:\Z - Saved SQL Databases\44OP-223503_St_Davids_Surgery_Center\JobDB.mdf,71.0,26.0,7.0,6.0,0.0,0.0,0.0,138.0,,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0,2.0,5.0,0.0,5.0,0.0,18.0
209,D:\Z - Saved SQL Databases\44OP-246430_TFC_HHSC_BLDG_K\JobDB.mdf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,4.0,7.0,7.0,2.0,7.0,4.0,3.0,3.0,9.0,7.0,9.0,9.0,9.0,2.0,2.0,2.0,4.0,3.0,7.0,1.0,2.0,9.0,0.0,6.0,0.0,9.0
210,D:\Z - Saved SQL Databases\44OP-255709_TFC_WPC_AHU_Replacement\JobDB.mdf,90.0,165.0,12.0,22.0,0.0,0.0,0.0,1058.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,D:\Z - Saved SQL Databases\44OP-215972_ACC_RoundRock\JobDB.mdf,157.0,177.0,9.0,0.0,0.0,0.0,0.0,615.0,,74.0,2.0,20.0,77.0,3.0,4.0,3.0,3.0,21.0,23.0,160.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,9.0,22.0,2.0,3.0,0.0,11.0,0.0,18.0
212,D:\Z - Saved SQL Databases\44OP-260716_TXST Cogen Central Plant CH-4\JobDB.mdf,71.0,70.0,83.0,2.0,0.0,0.0,0.0,162.0,,31.0,34.0,6.0,34.0,3.0,3.0,4.0,5.0,3.0,31.0,3.0,6.0,2.0,2.0,2.0,2.0,5.0,3.0,6.0,0.0,2.0,6.0,0.0,6.0,0.0,34.0
213,D:\Z - Saved SQL Databases\44OP-239338_ACC_Bond_Rio_Grande_Retro\JobDB.mdf,103.0,14.0,248.0,0.0,0.0,0.0,0.0,853.0,,73.0,2.0,8.0,92.0,9.0,9.0,9.0,10.0,10.0,25.0,92.0,2.0,2.0,2.0,2.0,2.0,13.0,3.0,6.0,8.0,2.0,6.0,0.0,6.0,0.0,7.0
214,D:\Z - Saved SQL Databases\44OP-249604_TXSU_Alkek_AHU_Modifications\JobDB.mdf,70.0,188.0,2.0,0.0,0.0,0.0,0.0,380.0,,35.0,11.0,11.0,26.0,7.0,7.0,3.0,7.0,7.0,11.0,5.0,2.0,2.0,2.0,2.0,2.0,7.0,3.0,14.0,0.0,2.0,2.0,0.0,6.0,0.0,34.0
215,D:\Z - Saved SQL Databases\44OP-250965_Courtyard_Marriott_Kitchen_MAU_Retrofit\JobDB.mdf,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,D:\Z - Saved SQL Databases\44OP-245351_Gardner_Betts_AHU_5_7-Chase\JobDB.mdf,2.0,12.0,0.0,0.0,0.0,0.0,0.0,31.0,,2.0,2.0,7.0,10.0,3.0,3.0,3.0,3.0,6.0,7.0,10.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,0.0,2.0,2.0,0.0,5.0,0.0,9.0
217,D:\Z - Saved SQL Databases\44OP-224233 DCMC Behavioral Health\JobDB.mdf,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,D:\Z - Saved SQL Databases\44OP-263957 TXSU Theater Reno\JobDB.mdf,58.0,11.0,6.0,0.0,0.0,0.0,0.0,285.0,,39.0,24.0,23.0,39.0,5.0,5.0,3.0,9.0,24.0,24.0,5.0,33.0,2.0,2.0,2.0,2.0,9.0,3.0,26.0,0.0,2.0,24.0,0.0,21.0,0.0,34.0
219,D:\Z - Saved SQL Databases\44OP-211506_TFC_SFA_AHU_Rplmnt\JobDB.mdf,108.0,202.0,0.0,0.0,0.0,0.0,0.0,1124.0,,34.0,23.0,7.0,52.0,8.0,8.0,8.0,8.0,8.0,8.0,53.0,7.0,2.0,2.0,2.0,2.0,13.0,3.0,8.0,10.0,2.0,2.0,0.0,7.0,0.0,7.0
220,D:\Z - Saved SQL Databases\44OP-259693_Seton_SW_OAHU\JobDB.mdf,24.0,66.0,2.0,0.0,0.0,0.0,0.0,220.0,,2.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,13.0
221,D:\Z - Saved SQL Databases\44OP-263047_UT_EERC_Vibration\JobDB.mdf,12.0,10.0,0.0,0.0,0.0,0.0,0.0,26.0,,10.0,11.0,4.0,10.0,3.0,3.0,3.0,3.0,9.0,10.0,2.0,10.0,9.0,2.0,2.0,2.0,4.0,3.0,4.0,0.0,2.0,9.0,0.0,4.0,0.0,11.0
222,D:\Z - Saved SQL Databases\44OP-243013_St_Davids_CC_Expansion\JobDB.mdf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,D:\Z - Saved SQL Databases\44OP-236582_TFC_WPC_Garage\JobDB.mdf,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,D:\Z - Saved SQL Databases\44OP-260593_HCA_NWMC_ED_AHU\JobDB.mdf,6.0,13.0,0.0,0.0,0.0,0.0,0.0,44.0,,4.0,10.0,4.0,10.0,3.0,3.0,3.0,4.0,5.0,8.0,3.0,8.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,0.0,2.0,8.0,0.0,4.0,0.0,10.0
225,D:\Z - Saved SQL Databases\44OP-246728_TXSU_Chemistry_Bldg_Reno\JobDB.mdf,7.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,D:\Z - Saved SQL Databases\44OP-244688-BSP_Cerilliant_Synthesis_Lab\JobDB.mdf,48.0,55.0,1.0,1.0,0.0,0.0,0.0,163.0,,7.0,2.0,3.0,62.0,38.0,7.0,3.0,3.0,38.0,38.0,64.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,40.0,2.0,3.0,0.0,9.0,0.0,17.0
227,D:\Z - Saved SQL Databases\44OP-241086_EERC_Freeman_Reno\JobDB.mdf,18.0,10.0,0.0,0.0,0.0,0.0,0.0,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,D:\Z - Saved SQL Databases\44OP-262509-Baylor_Goebel_Lab_2018_renovation\JobDB.mdf,5.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,,6.0,8.0,6.0,2.0,8.0,3.0,6.0,6.0,8.0,8.0,10.0,2.0,10.0,2.0,2.0,2.0,6.0,3.0,5.0,5.0,2.0,8.0,0.0,4.0,0.0,10.0
229,D:\Z - Saved SQL Databases\44OP-245797_NAMC_Outpatient_Imaging\JobDB.mdf,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,D:\Z - Saved SQL Databases\44OP-253849_TFC_SHB_RM140\JobDB.mdf,4.0,19.0,0.0,0.0,0.0,0.0,0.0,44.0,,5.0,5.0,5.0,9.0,3.0,3.0,3.0,3.0,9.0,5.0,3.0,5.0,3.0,2.0,2.0,2.0,4.0,3.0,5.0,1.0,2.0,5.0,0.0,5.0,0.0,11.0
231,D:\Z - Saved SQL Databases\44OP-235919_MCC_Central_Plant\JobDB.mdf,92.0,200.0,4.0,1.0,7.0,0.0,0.0,246.0,,44.0,2.0,6.0,44.0,6.0,6.0,3.0,6.0,37.0,44.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,3.0,15.0,0.0,2.0,2.0,0.0,12.0,0.0,42.0
232,D:\Z - Saved SQL Databases\44OP-245597_JH_Winters_AHU_Reno\JobDB.mdf,55.0,173.0,6.0,0.0,0.0,0.0,0.0,435.0,,6.0,2.0,6.0,21.0,4.0,6.0,3.0,6.0,15.0,15.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,5.0,0.0,2.0,2.0,0.0,5.0,0.0,28.0
233,D:\Z - Saved SQL Databases\44OP-247050_GW23_Google_IV_14_20_21\JobDB.mdf,6.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,,3.0,14.0,3.0,14.0,14.0,3.0,3.0,3.0,11.0,11.0,2.0,6.0,2.0,3.0,3.0,3.0,3.0,3.0,6.0,0.0,2.0,14.0,0.0,6.0,0.0,10.0
234,D:\Z - Saved SQL Databases\_old_44OP-134749_ACC_JCP_Highland_Mall\JobDB.mdf,26.0,3.0,0.0,0.0,0.0,0.0,0.0,129.0,,24.0,13.0,3.0,30.0,3.0,3.0,3.0,3.0,3.0,9.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,0.0,8.0,0.0,25.0
235,D:\Z - Saved SQL Databases\44OP-260186_Seton_HL_Chiller\JobDB.mdf,13.0,28.0,4.0,1.0,0.0,0.0,0.0,34.0,,7.0,13.0,7.0,13.0,3.0,3.0,3.0,3.0,13.0,11.0,2.0,10.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,0.0,2.0,3.0,0.0,4.0,0.0,13.0
236,D:\Z - Saved SQL Databases\44OP-228664_UT_Welch_Hall_Reno\JobDB.mdf,156.0,141.0,16.0,0.0,0.0,0.0,0.0,843.0,,105.0,25.0,7.0,103.0,8.0,8.0,9.0,9.0,9.0,11.0,149.0,2.0,2.0,2.0,2.0,2.0,11.0,3.0,12.0,7.0,2.0,2.0,0.0,6.0,0.0,147.0
237,D:\Z - Saved SQL Databases\44OP-213878_TXSU_HP1\JobDB.mdf,91.0,162.0,149.0,33.0,5.0,0.0,0.0,792.0,,26.0,4.0,26.0,101.0,26.0,25.0,4.0,4.0,31.0,34.0,103.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,7.0,25.0,2.0,5.0,0.0,11.0,0.0,24.0
238,D:\Z - Saved SQL Databases\44OP-221756_ACC_Hayes_Ph2\JobDB.mdf,44.0,12.0,0.0,0.0,0.0,0.0,0.0,52.0,,12.0,20.0,11.0,14.0,9.0,3.0,3.0,5.0,30.0,12.0,34.0,11.0,11.0,2.0,2.0,2.0,5.0,3.0,5.0,0.0,2.0,11.0,0.0,8.0,0.0,16.0
239,D:\Z - Saved SQL Databases\44OP-231541_MTEM_2017\JobDB.mdf,90.0,106.0,2.0,0.0,0.0,0.0,0.0,743.0,,66.0,3.0,3.0,85.0,3.0,3.0,3.0,3.0,3.0,45.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,65.0,2.0,3.0,0.0,6.0,0.0,13.0
240,D:\Z - Saved SQL Databases\44OP-260688_HCA_NWMC_Boiler_Rep\JobDB.mdf,8.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,16.0,5.0,17.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,5.0,0.0,5.0,0.0,12.0
241,D:\Z - Saved SQL Databases\44OP-245696_TXSU_LBJ_Student_Center_Expansion\JobDB.mdf,22.0,40.0,2.0,0.0,0.0,0.0,0.0,174.0,,15.0,2.0,18.0,18.0,5.0,5.0,3.0,5.0,15.0,18.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,8.0,0.0,2.0,2.0,0.0,5.0,0.0,10.0
242,D:\Z - Saved SQL Databases\44OP-237860_Intel_AN4_AVC_Lab\JobDB.mdf,16.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,,5.0,14.0,5.0,14.0,3.0,3.0,4.0,4.0,12.0,10.0,16.0,5.0,5.0,2.0,2.0,2.0,4.0,3.0,5.0,0.0,2.0,5.0,0.0,5.0,0.0,16.0
243,D:\Z - Saved SQL Databases\44OP-223240 GW23 Flower Child\JobDB.mdf,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,D:\Z - Saved SQL Databases\44OP-237617_GW23_Google_Phase_3_21_23\JobDB.mdf,39.0,84.0,2.0,0.0,0.0,0.0,0.0,129.0,,10.0,5.0,5.0,25.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,20.0,2.0,2.0,0.0,5.0,0.0,12.0
245,D:\Z - Saved SQL Databases\44OP-220099_TAMU_CT_Bldg3\JobDB.mdf,81.0,111.0,45.0,0.0,0.0,0.0,0.0,441.0,,35.0,2.0,35.0,42.0,35.0,35.0,3.0,35.0,35.0,35.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,3.0,13.0,39.0,2.0,2.0,0.0,8.0,0.0,22.0
246,D:\Z - Saved SQL Databases\44OP-234662_MTEM_AHU-9_FF\JobDB.mdf,4.0,3.0,0.0,0.0,0.0,0.0,0.0,50.0,,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,10.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,6.0,2.0,4.0,0.0,4.0,0.0,4.0
247,D:\Z - Saved SQL Databases\44OP-211506_TFC_SFA_DOAU_REPLACEMENT\JobDB.mdf,76.0,75.0,0.0,0.0,0.0,0.0,0.0,297.0,,39.0,3.0,56.0,82.0,57.0,8.0,3.0,8.0,59.0,59.0,83.0,3.0,2.0,2.0,2.0,2.0,8.0,3.0,22.0,62.0,2.0,5.0,0.0,9.0,0.0,56.0
248,D:\Z - Saved SQL Databases\44OP-246935_ACC_Highland_Mall_Garage\JobDB.mdf,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,,3.0,9.0,3.0,7.0,3.0,3.0,3.0,3.0,8.0,7.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,9.0
249,D:\Z - Saved SQL Databases\44OP-258960_Seton_Luling_RTU-5\JobDB.mdf,14.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,,7.0,9.0,7.0,9.0,3.0,3.0,3.0,3.0,9.0,3.0,5.0,9.0,9.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,2.0,9.0,0.0,3.0,0.0,9.0
250,D:\Z - Saved SQL Databases\44OP-258957_TXSU_FCS_Vivarium\JobDB.mdf,23.0,8.0,0.0,0.0,0.0,0.0,0.0,42.0,,7.0,14.0,7.0,14.0,7.0,3.0,3.0,7.0,7.0,12.0,15.0,12.0,7.0,2.0,2.0,2.0,6.0,3.0,7.0,0.0,2.0,7.0,0.0,7.0,0.0,15.0
251,D:\Z - Saved SQL Databases\44OP-214947_TFC_WPC_Elevator_DM_CO3\JobDB.mdf,9.0,2.0,1.0,0.0,0.0,0.0,0.0,35.0,,11.0,16.0,11.0,16.0,11.0,3.0,3.0,3.0,16.0,11.0,12.0,15.0,2.0,2.0,2.0,2.0,5.0,3.0,7.0,0.0,2.0,2.0,0.0,7.0,0.0,16.0
252,D:\Z - Saved SQL Databases\44OP-215972_ACC_RoundRock_OLD\JobDB.mdf,105.0,177.0,9.0,0.0,0.0,0.0,0.0,615.0,,58.0,3.0,4.0,81.0,3.0,19.0,3.0,4.0,19.0,20.0,96.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,20.0,2.0,4.0,0.0,9.0,0.0,11.0
253,D:\Z - Saved SQL Databases\44OP-259329-TFC_DROC_2018_DM\JobDB.mdf,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,4.0,3.0,4.0,2.0,10.0,3.0,3.0,3.0,10.0,4.0,10.0,10.0,10.0,2.0,2.0,2.0,4.0,3.0,4.0,1.0,2.0,10.0,0.0,8.0,0.0,10.0
254,D:\Z - Saved SQL Databases\44OP-232590_ACC_Highland_Phase_II\JobDB.mdf,166.0,437.0,28.0,0.0,0.0,0.0,0.0,1042.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,D:\Z - Saved SQL Databases\44OP-226688 GW23 North Italia\JobDB.mdf,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
